name;slug;short_description;full_description;price;sale_price;currency;main_image;category_slug;ready_to_wear_type;bridal_type;accessory_type;available;published;featured;purchase_type;product_status;made_to_order;lead_time_note
Lavender Infused Soap;lavender-infused-soap;Indulge in the soothing, aromatic experience of Maie Couture's Lavender Infused Soap, crafted to elevate your daily routine. This luxurious soap not only revitalizes your skin with;Indulge in the soothing, aromatic experience of Maie Couture's Lavender Infused Soap, crafted to elevate your daily routine. This luxurious soap not only revitalizes your skin with its gentle cleansing properties but also enriches your senses with the calming essence of lavender. Made with premium, natural ingredients and inspired by the traditional craftsmanship of nablus soap, our Lavender Infused Soap aligns perfectly with Maie Couture's commitment to quality and elegance. Suitable for all skin types, it promises a refreshing cleanse that leaves your skin feeling soft and fragrant. Elevate your self-care routine with a touch of sophistication only at Maie Couture.;45;;NIS;https://static.wixstatic.com/media/e126e7_0b3555d6d232457c848f402baa21b3d0~mv2.png;home;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 3-5 business days
Cedar Wood Soap;cedar-wood-soap;Experience the natural luxury of our Cedar Wood Soap, exclusively available at Maie Couture. Crafted with premium cedar wood extracts, this soap offers a refreshing and earthy arom;Experience the natural luxury of our Cedar Wood Soap, exclusively available at Maie Couture. Crafted with premium cedar wood extracts, this soap offers a refreshing and earthy aroma that invigorates your senses. Perfect for all skin types, it promises a gentle yet effective cleanse, leaving your skin feeling soft and rejuvenated. Embrace the essence of nature while supporting Maie Couture's values of quality and sustainability. Elevate your skincare routine today.;45;;NIS;https://static.wixstatic.com/media/e126e7_eec14089e38c4b688dd43c2afc2df76e~mv2.png;home;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 3-5 business days
Mint Soap;mint-soap;Discover Nablus Soap’s Mint Soap at Maie Couture. This delightful, hand-crafted soap with natural mint extracts offers a refreshing cleanse. Ideal for those who appreciate elegance;Discover Nablus Soap’s Mint Soap at Maie Couture. This delightful, hand-crafted soap with natural mint extracts offers a refreshing cleanse. Ideal for those who appreciate elegance and purity, it pairs beautifully with our high-quality clothing and showcases our artisanship. Enjoy a revitalizing bath that leaves your skin feeling refreshed. Embrace tradition and luxury with Nablus Soap’s Mint Soap.;45;;NIS;https://static.wixstatic.com/media/e126e7_59365758559646448e59e0fbbe73d474~mv2.png;home;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 3-5 business days
Damascus Rose Soap;damascus-rose-soap;Experience the fragrance of Damascus Rose Soap by Maie Couture. Crafted by Nablus Soap artisans, it provides a gentle cleanse with a rose essence. Each bar embodies our commitment;Experience the fragrance of Damascus Rose Soap by Maie Couture. Crafted by Nablus Soap artisans, it provides a gentle cleanse with a rose essence. Each bar embodies our commitment to quality and care. Enhance your skincare routine with this refined product. Discover tradition's impact with our Damascus Rose Soap.;45;;NIS;https://static.wixstatic.com/media/e126e7_696334c246b740abac7a48dccb7b3128~mv2.png;home;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 3-5 business days
Black Seeds Soap;black-seeds-soap;Discover the nourishing benefits of our Black Seeds Soap, a luxurious addition to Maie Couture’s self-care range. Infused with the essence of traditional nabulsi soap, this handcra;Discover the nourishing benefits of our Black Seeds Soap, a luxurious addition to Maie Couture’s self-care range. Infused with the essence of traditional nabulsi soap, this handcrafted bar gently cleanses and revitalizes your skin, leaving it feeling refreshed and invigorated. At Maie Couture, we value quality and authenticity, ensuring each product enhances your daily routine. Elevate your skincare ritual with our Black Seeds Soap, meticulously crafted to meet Maie Couture's high standards of excellence. Treat your skin to this exquisite soap and experience the timeless allure of nabulsi soap.;45;;NIS;https://static.wixstatic.com/media/e126e7_701d83418b874ed2b4e8af85f5e8f08e~mv2.png;home;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 3-5 business days
Tea Tree and Charcoal Soap;tea-tree-and-charcoal-soap;Experience the benefits of Maie Couture's Tea Tree and Charcoal Soap. Crafted in Nabulsi tradition, it combines tea tree oil and activated charcoal for a deep, refreshing cleanse.;Experience the benefits of Maie Couture's Tea Tree and Charcoal Soap. Crafted in Nabulsi tradition, it combines tea tree oil and activated charcoal for a deep, refreshing cleanse. Ideal for those who value quality skincare, wellness, and sophistication. Elevate your routine with this luxurious, authentic soap.;45;;NIS;https://static.wixstatic.com/media/e126e7_6bef28db4fe248a482f06c7a7e5c8855~mv2.png;home;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 3-5 business days
Embroidered Dress with Bow Detail;embroidered-dress-with-bow-detail;Embroidered Dress with Bow Detail: An elegant evening silhouette crafted for elevated occasions.;Embroidered Dress with Bow Detail is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2000;;NIS;https://static.wixstatic.com/media/e126e7_71999f2eee8c430d93876ff9947a4214~mv2.jpg;ready-to-wear;Dresses;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
High Neck Red Embroidered Dress;high-neck-red-embroidered-dress;High Neck Red Embroidered Dress: An elegant evening silhouette crafted for elevated occasions.;High Neck Red Embroidered Dress is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_fb5ca937cc194c098c2c80250ebcb3f2~mv2.jpg;ready-to-wear;Dresses;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Floral Embroidered Dress;floral-embroidered-dress;Floral Embroidered Dress in Black: An elegant evening silhouette crafted for elevated occasions.;Floral Embroidered Dress in Black is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_b188e6c1949443f7a9dc3058b2a027e2~mv2.jpg;ready-to-wear;Dresses;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Red Embroidered Gold Colored Dress;red-embroidered-gold-colored-dress;Red Embroidered Gold Colored Dress: An elegant evening silhouette crafted for elevated occasions.;Red Embroidered Gold Colored Dress is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;3500;;NIS;https://static.wixstatic.com/media/e126e7_dad4959e3596445498ab95665e352239~mv2.jpg;evening-wear;;;;TRUE;TRUE;FALSE;CUS;EVERGREEN;TRUE;Usually ready within 4 weeks.
